% age AD	NGRIP	GRIP	Camp Century	Dye-3	Milcent	Dome C	Dome Fuji	South Pole	Siple Dome
1986.9	0.641	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1986.8	0.641	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1986.7	0.641	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1986.6	0.641	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1986.5	0.84063	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1986.4	0.84063	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1986.3	0.84063	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1986.2	0.84063	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1986.1	0.84063	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1986	0.84063	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1985.9	0.84063	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1985.8	0.84063	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1985.7	0.84063	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1985.6	0.84063	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1985.5	1.256	NaN	NaN	0.45265	NaN	NaN	NaN	NaN	NaN
1985.4	1.256	NaN	NaN	0.45265	NaN	NaN	NaN	NaN	NaN
1985.3	1.256	NaN	NaN	0.45265	NaN	NaN	NaN	NaN	NaN
1985.2	1.256	NaN	NaN	0.45265	NaN	NaN	NaN	NaN	NaN
1985.1	1.256	NaN	NaN	0.45265	NaN	NaN	NaN	NaN	NaN
1985	1.256	NaN	NaN	0.45265	NaN	NaN	NaN	NaN	NaN
1984.9	1.256	NaN	NaN	0.45265	NaN	NaN	NaN	NaN	NaN
1984.8	1.256	NaN	NaN	0.45265	NaN	NaN	NaN	NaN	NaN
1984.7	1.256	NaN	NaN	0.45265	NaN	NaN	NaN	NaN	NaN
1984.6	1.256	NaN	NaN	0.45265	NaN	NaN	NaN	NaN	NaN
1984.5	0.86601	NaN	NaN	0.48218	NaN	NaN	NaN	NaN	NaN
1984.4	0.86601	NaN	NaN	0.48218	NaN	NaN	NaN	NaN	NaN
1984.3	0.86601	NaN	NaN	0.48218	NaN	NaN	NaN	NaN	NaN
1984.2	0.86601	NaN	NaN	0.48218	NaN	NaN	NaN	NaN	NaN
1984.1	0.86601	NaN	NaN	0.48218	NaN	NaN	NaN	NaN	NaN
1984	0.86601	NaN	NaN	0.48218	NaN	NaN	NaN	NaN	NaN
1983.9	0.86601	NaN	NaN	0.48218	NaN	NaN	NaN	NaN	NaN
1983.8	0.86601	NaN	NaN	0.48218	NaN	NaN	NaN	NaN	NaN
1983.7	0.86601	NaN	NaN	0.48218	NaN	NaN	NaN	NaN	NaN
1983.6	0.86601	NaN	NaN	0.48218	NaN	NaN	NaN	NaN	NaN
1983.5	0.98833	NaN	NaN	0.99387	NaN	NaN	NaN	NaN	NaN
1983.4	0.98833	NaN	NaN	0.99387	NaN	NaN	NaN	NaN	NaN
1983.3	0.98833	NaN	NaN	0.99387	NaN	NaN	NaN	NaN	NaN
1983.2	0.98833	NaN	NaN	0.99387	NaN	NaN	NaN	NaN	NaN
1983.1	0.98833	NaN	NaN	0.99387	NaN	NaN	NaN	NaN	NaN
1983	0.98833	NaN	NaN	0.99387	NaN	NaN	NaN	NaN	NaN
1982.9	0.98833	NaN	NaN	0.99387	NaN	NaN	NaN	NaN	NaN
1982.8	0.98833	NaN	NaN	0.99387	NaN	NaN	NaN	NaN	NaN
1982.7	0.98833	NaN	NaN	0.99387	NaN	NaN	NaN	NaN	NaN
1982.6	0.98833	NaN	NaN	0.99387	NaN	NaN	NaN	NaN	NaN
1982.5	0.85101	NaN	NaN	0.64946	NaN	NaN	NaN	NaN	NaN
1982.4	0.85101	NaN	NaN	0.64946	NaN	NaN	NaN	NaN	NaN
1982.3	0.85101	NaN	NaN	0.64946	NaN	NaN	NaN	NaN	NaN
1982.2	0.85101	NaN	NaN	0.64946	NaN	NaN	NaN	NaN	NaN
1982.1	0.85101	NaN	NaN	0.64946	NaN	NaN	NaN	NaN	NaN
1982	0.85101	NaN	NaN	0.64946	NaN	NaN	NaN	NaN	NaN
1981.9	0.85101	NaN	NaN	0.64946	NaN	NaN	NaN	NaN	NaN
1981.8	0.85101	NaN	NaN	0.64946	NaN	NaN	NaN	NaN	NaN
1981.7	0.85101	NaN	NaN	0.64946	NaN	NaN	NaN	NaN	NaN
1981.6	0.85101	NaN	NaN	0.64946	NaN	NaN	NaN	NaN	NaN
1981.5	0.74024	NaN	NaN	0.63962	NaN	NaN	NaN	NaN	NaN
1981.4	0.74024	NaN	NaN	0.63962	NaN	NaN	NaN	NaN	NaN
1981.3	0.74024	NaN	NaN	0.63962	NaN	NaN	NaN	NaN	NaN
1981.2	0.74024	NaN	NaN	0.63962	NaN	NaN	NaN	NaN	NaN
1981.1	0.74024	NaN	NaN	0.63962	NaN	NaN	NaN	NaN	NaN
1981	0.74024	NaN	NaN	0.63962	NaN	NaN	NaN	NaN	NaN
1980.9	0.74024	NaN	NaN	0.63962	NaN	NaN	NaN	NaN	NaN
1980.8	0.74024	NaN	NaN	0.63962	NaN	NaN	NaN	NaN	NaN
1980.7	0.74024	NaN	NaN	0.63962	NaN	NaN	NaN	NaN	NaN
1980.6	0.74024	NaN	NaN	0.63962	NaN	NaN	NaN	NaN	NaN
1980.5	0.55157	NaN	NaN	0.60026	NaN	NaN	NaN	NaN	NaN
1980.4	0.55157	NaN	NaN	0.60026	NaN	NaN	NaN	NaN	NaN
1980.3	0.55157	NaN	NaN	0.60026	NaN	NaN	NaN	NaN	NaN
1980.2	0.55157	NaN	NaN	0.60026	NaN	NaN	NaN	NaN	NaN
1980.1	0.55157	NaN	NaN	0.60026	NaN	NaN	NaN	NaN	NaN
1980	0.55157	NaN	NaN	0.60026	NaN	NaN	NaN	NaN	NaN
1979.9	0.55157	NaN	NaN	0.60026	NaN	NaN	NaN	NaN	NaN
1979.8	0.55157	NaN	NaN	0.60026	NaN	NaN	NaN	NaN	NaN
1979.7	0.55157	NaN	NaN	0.60026	NaN	NaN	NaN	NaN	NaN
1979.6	0.55157	NaN	NaN	0.60026	NaN	NaN	NaN	NaN	NaN
1979.5	0.90871	NaN	NaN	0.6101	NaN	NaN	NaN	NaN	NaN
1979.4	0.90871	NaN	NaN	0.6101	NaN	NaN	NaN	NaN	NaN
1979.3	0.90871	NaN	NaN	0.6101	NaN	NaN	NaN	NaN	NaN
1979.2	0.90871	NaN	NaN	0.6101	NaN	NaN	NaN	NaN	NaN
1979.1	0.90871	NaN	NaN	0.6101	NaN	NaN	NaN	NaN	NaN
1979	0.90871	NaN	NaN	0.6101	NaN	NaN	NaN	NaN	NaN
1978.9	0.90871	NaN	NaN	0.6101	NaN	NaN	NaN	NaN	NaN
1978.8	0.90871	NaN	NaN	0.6101	NaN	NaN	NaN	NaN	NaN
1978.7	0.90871	NaN	NaN	0.6101	NaN	NaN	NaN	NaN	NaN
1978.6	0.90871	NaN	NaN	0.6101	NaN	NaN	NaN	NaN	NaN
1978.5	0.79216	NaN	NaN	0.62978	NaN	NaN	NaN	NaN	NaN
1978.4	0.79216	NaN	NaN	0.62978	NaN	NaN	NaN	NaN	NaN
1978.3	0.79216	NaN	NaN	0.62978	NaN	NaN	NaN	NaN	NaN
1978.2	0.79216	NaN	NaN	0.62978	NaN	NaN	NaN	NaN	NaN
1978.1	0.79216	NaN	NaN	0.62978	NaN	NaN	NaN	NaN	NaN
1978	0.79216	NaN	NaN	0.62978	NaN	NaN	NaN	NaN	NaN
1977.9	0.79216	NaN	NaN	0.62978	NaN	NaN	NaN	NaN	NaN
1977.8	0.79216	NaN	NaN	0.62978	NaN	NaN	NaN	NaN	NaN
1977.7	0.79216	NaN	NaN	0.62978	NaN	NaN	NaN	0.88155	NaN
1977.6	0.79216	NaN	NaN	0.62978	NaN	NaN	NaN	0.88155	NaN
1977.5	1.0662	NaN	NaN	0.5609	NaN	NaN	NaN	0.88155	NaN
1977.4	1.0662	NaN	NaN	0.5609	NaN	NaN	NaN	0.88155	NaN
1977.3	1.0662	NaN	NaN	0.5609	NaN	NaN	NaN	0.88155	NaN
1977.2	1.0662	NaN	NaN	0.5609	NaN	NaN	NaN	0.88155	NaN
1977.1	1.0662	NaN	NaN	0.5609	NaN	NaN	NaN	0.88155	NaN
1977	1.0662	NaN	NaN	0.5609	NaN	NaN	NaN	0.88155	NaN
1976.9	1.0662	NaN	NaN	0.5609	NaN	NaN	NaN	0.88155	1.3209
1976.8	1.0662	NaN	NaN	0.5609	NaN	NaN	NaN	0.88155	1.3209
1976.7	1.0662	NaN	NaN	0.5609	NaN	NaN	NaN	0.88155	1.3209
1976.6	1.0662	NaN	NaN	0.5609	NaN	NaN	NaN	0.88155	1.3209
1976.5	0.79389	NaN	NaN	0.58058	NaN	NaN	NaN	0.88155	1.3209
1976.4	0.79389	NaN	NaN	0.58058	NaN	NaN	NaN	0.88155	1.3209
1976.3	0.79389	NaN	NaN	0.58058	NaN	NaN	NaN	0.88155	0.84885
1976.2	0.79389	NaN	NaN	0.58058	NaN	NaN	NaN	0.88155	0.84885
1976.1	0.79389	NaN	NaN	0.58058	NaN	NaN	NaN	0.88155	0.84885
1976	0.79389	NaN	NaN	0.58058	NaN	NaN	NaN	0.88155	0.84885
1975.9	0.79389	NaN	NaN	0.58058	NaN	NaN	NaN	0.88155	0.84885
1975.8	0.79389	NaN	NaN	0.58058	NaN	NaN	NaN	0.88155	0.84885
1975.7	0.79389	NaN	NaN	0.58058	NaN	NaN	NaN	0.88155	0.84885
1975.6	0.79389	NaN	NaN	0.58058	NaN	NaN	NaN	0.88155	0.84885
1975.5	0.75293	NaN	NaN	NaN	NaN	NaN	NaN	0.88155	0.84885
1975.4	0.75293	NaN	NaN	NaN	NaN	NaN	NaN	0.88155	0.84885
1975.3	0.75293	NaN	NaN	NaN	NaN	NaN	NaN	0.88155	0.84885
1975.2	0.75293	NaN	NaN	NaN	NaN	NaN	NaN	0.88155	1.0871
1975.1	0.75293	NaN	NaN	NaN	NaN	NaN	NaN	0.88155	1.0871
1975	0.75293	NaN	NaN	NaN	NaN	NaN	NaN	0.88155	1.0871
1974.9	0.75293	NaN	NaN	NaN	NaN	NaN	NaN	0.88155	1.0871
1974.8	0.75293	NaN	NaN	NaN	NaN	NaN	NaN	0.88155	1.0871
1974.7	0.75293	NaN	NaN	NaN	NaN	NaN	NaN	0.88155	1.0871
1974.6	0.75293	NaN	NaN	NaN	NaN	NaN	NaN	0.88155	1.0871
1974.5	0.84755	NaN	NaN	NaN	NaN	NaN	NaN	0.88155	1.0178
1974.4	0.84755	NaN	NaN	0.98403	NaN	NaN	NaN	0.88155	1.0178
1974.3	0.84755	NaN	NaN	0.98403	NaN	NaN	NaN	0.88155	1.0178
1974.2	0.84755	NaN	NaN	0.98403	NaN	NaN	NaN	0.88155	1.0178
1974.1	0.84755	NaN	NaN	0.98403	NaN	NaN	NaN	0.88155	1.0178
1974	0.84755	NaN	NaN	0.98403	NaN	NaN	NaN	0.88155	1.0178
1973.9	0.84755	NaN	NaN	0.98403	NaN	NaN	NaN	0.88155	1.0178
1973.8	0.84755	NaN	NaN	0.98403	NaN	NaN	NaN	0.88155	1.0178
1973.7	0.84755	NaN	NaN	0.98403	NaN	NaN	NaN	0.88155	1.0178
1973.6	0.84755	NaN	NaN	0.98403	NaN	NaN	NaN	0.88155	1.0178
1973.5	0.9289	NaN	NaN	0.67898	NaN	NaN	NaN	0.88155	1.0178
1973.4	0.9289	NaN	NaN	0.67898	NaN	NaN	NaN	0.88155	1.0178
1973.3	0.9289	NaN	NaN	0.67898	NaN	NaN	NaN	0.88155	1.0178
1973.2	0.9289	NaN	NaN	0.67898	NaN	NaN	NaN	0.88155	0.67562
1973.1	0.9289	NaN	NaN	0.67898	NaN	NaN	NaN	0.88155	0.67562
1973	0.9289	NaN	NaN	0.67898	NaN	NaN	NaN	0.88155	0.67562
1972.9	0.9289	NaN	NaN	0.67898	NaN	NaN	NaN	0.88155	0.67562
