t,dt,rad,colat,lat,lon,D,dD,I,dI,F,dF,UID,FID
-6800,200.0,6371.2,53.583,36.417,38.170,,,,,54.800,3.341,10459,""
-6750,125.0,6371.2,62.028,27.972,-15.468,-3.000,3.068,36.700,2.460,48.100,3.958,10733,""
-6690,100.0,6371.2,53.100,36.900,138.100,,,,,54.500,3.743,2506,""
-6650,50.0,6371.2,53.583,36.417,38.170,,,,,50.200,3.461,10461,""
-6646,170.0,6371.2,26.068,63.932,-20.650,,,,,85.100,7.434,9226,""
-6646,170.0,6371.2,26.100,63.900,-20.600,20.500,8.723,75.200,2.228,68.500,7.033,3347,""
-6646,170.0,6371.2,26.040,63.960,-20.900,2.000,9.547,77.100,2.131,,,12323,""
-6646,170.0,6371.2,26.070,63.930,-20.655,5.300,9.443,71.600,2.981,,,12334,""
-6637,127.0,6371.2,69.365,20.635,-156.120,-2.500,2.965,41.800,2.210,,,7650,""
-6635,105.0,6371.2,43.240,46.760,7.110,-0.800,4.582,59.800,2.305,,,9099,""
-6600,50.0,6371.2,53.583,36.417,38.170,,,,,52.800,3.485,10460,""
-6550,50.0,6371.2,70.287,19.713,-155.054,,,,,59.100,5.900,12303,""
-6550,50.0,6371.2,70.287,19.713,-155.054,,,,,34.320,5.900,12304,""
-6550,50.0,6371.2,70.287,19.713,-155.054,,,46.100,2.247,39.000,8.337,12309,""
-6490,70.0,6371.2,70.880,19.120,-99.490,-22.600,4.225,55.900,2.369,44.500,8.995,2769,""
-6480,50.0,6371.2,70.469,19.531,-101.708,-32.400,2.886,13.700,2.803,26.000,5.897,11967,""
-6450,50.0,6371.2,53.583,36.417,38.170,,,,,52.500,3.388,10462,""
-6350,50.0,6371.2,53.583,36.417,38.170,,,,,48.100,3.396,10463,""
-6300,100.0,6371.2,35.000,55.000,105.000,,,,,73.100,12.460,11317,""
-6300,50.0,6371.2,61.622,28.378,-16.732,-5.400,3.426,36.700,2.747,36.900,3.373,10709,""
-6230,160.0,6371.2,46.700,43.300,-113.700,-8.400,6.793,59.600,3.438,,,5290,""
-6200,200.0,6371.2,36.000,54.000,107.500,,,,,67.600,8.046,2235,""
-6175,125.0,6371.2,53.583,36.417,38.170,,,,,45.000,3.592,10464,""
-6100,100.0,6371.2,35.000,55.000,105.000,,,,,49.600,8.858,11316,""
-6100,100.0,6371.2,45.300,44.700,21.200,,,,,37.280,5.198,9615,""
-6066,60.0,6371.2,53.660,36.340,42.352,,,,,40.400,3.322,11447,""
-6065,155.0,6371.2,43.240,46.760,7.110,11.900,5.565,56.100,3.104,,,9098,""
-6024,52.0,6371.2,53.660,36.340,42.352,,,,,42.600,3.370,11446,""
-6000,200.0,6371.2,53.300,36.700,39.000,,,,,40.900,3.320,1025,""
-5996,56.0,6371.2,53.660,36.340,42.352,,,,,40.600,3.329,11445,""
-5990,110.0,6371.2,43.240,46.760,7.110,18.700,6.817,56.100,3.802,,,9097,""
-5975,75.0,6371.2,53.583,36.417,38.170,,,,,45.800,3.321,10465,""
-5975,75.0,6371.2,53.583,36.417,38.170,,,,,42.700,3.301,10466,""
-5950,110.0,6371.2,49.000,41.000,22.000,-17.000,4.962,55.600,2.803,,,8853,""
-5948,51.0,6371.2,48.500,41.500,23.500,-9.200,4.801,64.000,2.104,53.720,3.555,9577,""
-5939,58.0,6371.2,53.660,36.340,42.352,,,,,44.100,3.531,11444,""
-5916,75.0,6371.2,47.600,42.400,23.100,-19.400,4.597,51.500,2.861,46.830,4.407,9580,""
-5894,64.0,6371.2,53.660,36.340,42.352,,,,,42.000,3.298,11443,""
-5890,100.0,6371.2,47.000,43.000,-122.100,15.400,8.386,65.800,3.438,,,5289,""
-5887,60.0,6371.2,53.660,36.340,42.352,,,,,41.100,3.314,11442,""
-5885,95.0,6371.2,43.240,46.760,7.110,29.400,8.975,61.900,4.228,,,9096,""
-5867,52.0,6371.2,53.660,36.340,42.352,,,,,44.900,3.370,11441,""
-5854,50.0,6371.2,53.660,36.340,42.352,,,,,40.900,3.298,11440,""
-5848,52.0,6371.2,53.660,36.340,42.352,,,,,41.600,3.438,11439,""
-5828,154.0,6371.2,25.955,64.045,-21.848,,,,,40.200,5.609,9225,""
-5825,75.0,6371.2,53.583,36.417,38.170,,,,,42.500,3.565,10467,""
-5790,80.0,6371.2,47.700,42.300,23.200,-24.470,6.312,63.630,2.803,56.530,4.067,9576,""
-5780,50.0,6371.2,43.240,46.760,7.110,10.600,15.418,73.100,4.482,,,9095,""
-5776,59.0,6371.2,48.100,41.900,23.500,,,,,55.420,3.635,9573,""
-5765,50.0,6371.2,53.600,36.400,42.400,,,,,46.500,8.562,6914,""
-5765,50.0,6371.2,53.600,36.400,42.400,,,,,52.200,3.311,6915,""
-5760,50.0,6371.2,47.300,42.700,23.300,-15.750,5.530,59.880,2.775,62.000,3.599,9572,""
-5754,80.0,6371.2,47.600,42.400,23.100,,,,,63.260,4.407,9579,""
-5750,50.0,6371.2,53.600,36.400,42.400,,,,,49.900,3.311,6916,""
-5750,100.0,6371.2,45.800,44.200,20.900,,,,,48.810,3.633,9334,""
-5750,100.0,6371.2,47.900,42.100,25.440,-0.500,4.849,62.400,2.247,43.390,3.625,9469,""
-5745,50.0,6371.2,53.600,36.400,42.400,,,,,50.700,4.216,6917,""
-5745,50.0,6371.2,53.600,36.400,42.400,,,,,46.700,4.482,6918,""
-5745,50.0,6371.2,53.600,36.400,42.400,,,,,50.900,4.482,6919,""
-5740,50.0,6371.2,48.000,42.000,24.100,,,,,52.360,4.650,9333,""
-5738,50.0,6371.2,53.600,36.400,42.400,,,,,51.100,4.972,6920,""
-5737,50.0,6371.2,53.661,36.339,42.349,,,,,43.100,4.214,10759,""
-5735,50.0,6371.2,47.300,42.700,23.300,-13.000,5.161,57.100,2.803,45.270,3.596,9571,""
-5735,100.0,6371.2,45.500,44.500,22.100,-20.800,6.731,60.810,3.283,49.220,5.192,9332,""
-5730,50.0,6371.2,53.600,36.400,42.400,,,,,42.800,4.216,6921,""
-5730,100.0,6371.2,47.300,42.700,23.300,,,,,44.880,4.672,9335,""
-5724,155.0,6371.2,48.500,41.500,23.500,-4.500,5.466,63.800,2.413,37.690,3.917,9591,""
-5724,60.0,6371.2,47.600,42.400,23.100,-4.100,4.582,60.900,2.228,59.030,3.625,9342,""
-5720,120.0,6371.2,47.100,42.900,-122.100,-3.400,10.349,70.600,3.438,,,5286,""
-5715,50.0,6371.2,53.600,36.400,42.400,,,,,51.200,4.482,6922,""
-5714,50.0,6371.2,53.661,36.339,42.349,,,,,46.400,3.366,10758,""
-5710,50.0,6371.2,53.600,36.400,42.400,,,,,49.400,4.972,6923,""
-5710,50.0,6371.2,43.240,46.760,7.110,16.400,12.891,70.000,4.409,,,9094,""
-5708,50.0,6371.2,53.600,36.400,42.400,,,,,46.800,4.972,6924,""
-5701,50.0,6371.2,53.661,36.339,42.349,,,,,45.700,3.421,10757,""
-5700,50.0,6371.2,53.600,36.400,42.400,,,,,45.300,3.572,6925,""
-5700,100.0,6371.2,47.700,42.300,22.670,-11.800,4.233,59.300,2.161,44.040,3.708,9654,""
-5700,50.0,6371.2,48.350,41.650,23.230,-15.300,4.709,59.800,2.369,49.770,3.527,13028,""
-5698,50.0,6371.2,69.310,20.690,-156.016,29.600,4.619,42.100,3.427,,,7649,""
-5680,50.0,6371.2,53.661,36.339,42.349,,,,,44.800,4.480,10756,""
-5680,50.0,6371.2,53.600,36.400,42.400,,,,,49.100,4.972,6926,""
-5680,62.0,6371.2,47.500,42.500,25.700,-8.100,5.640,65.170,2.369,48.630,3.717,9338,""
-5675,50.0,6371.2,53.600,36.400,42.400,,,,,44.600,4.482,6927,""
-5672,50.0,6371.2,53.661,36.339,42.349,,,,,43.100,4.214,10755,""
-5665,50.0,6371.2,53.600,36.400,42.400,,,,,45.700,4.216,6928,""
-5660,60.0,6371.2,46.900,43.100,25.600,-5.000,3.695,51.800,2.285,41.430,3.745,9340,""
-5658,50.0,6371.2,53.661,36.339,42.349,,,,,43.800,3.977,10754,""
-5655,50.0,6371.2,53.600,36.400,42.400,,,,,51.500,4.216,6929,""
-5650,50.0,6371.2,53.600,36.400,42.400,,,,,48.700,3.491,6930,""
-5650,100.0,6371.2,53.583,36.417,38.170,,,,,40.800,3.347,10468,""
-5650,100.0,6371.2,53.583,36.417,38.170,,,,,42.400,3.341,10469,""
-5650,100.0,6371.2,53.583,36.417,38.170,,,,,40.800,3.360,10470,""
-5650,100.0,6371.2,53.583,36.417,38.170,,,,,41.400,3.448,10471,""
-5645,50.0,6371.2,53.600,36.400,42.400,,,,,46.000,4.216,6931,""
-5640,50.0,6371.2,53.600,36.400,42.400,,,,,41.800,4.972,6932,""
-5640,50.0,6371.2,43.240,46.760,7.110,22.600,7.323,61.800,3.461,,,9093,""
-5638,50.0,6371.2,53.600,36.400,42.400,,,,,45.200,4.216,6933,""
-5633,50.0,6371.2,53.600,36.400,42.400,,,,,51.100,4.972,6934,""
-5630,50.0,6371.2,53.600,36.400,42.400,,,,,49.600,4.972,6935,""
-5625,50.0,6371.2,53.600,36.400,42.400,,,,,51.900,4.972,6936,""
-5620,50.0,6371.2,53.600,36.400,42.400,,,,,50.100,4.972,6937,""
-5611,50.0,6371.2,53.661,36.339,42.349,,,,,39.200,4.214,10753,""
-5610,50.0,6371.2,53.600,36.400,42.400,,,,,42.800,4.972,6938,""
-5605,50.0,6371.2,53.600,36.400,42.400,,,,,49.700,4.972,6939,""
-5605,50.0,6371.2,53.600,36.400,42.400,,,,,47.900,4.216,6940,""
-5605,50.0,6371.2,53.600,36.400,42.400,,,,,53.500,8.562,6941,""
-5600,50.0,6371.2,53.600,36.400,42.400,,,,,48.900,4.216,6942,""
-5600,200.0,6371.2,35.000,55.000,105.000,,,,,57.500,6.616,11315,""
-5600,70.0,6371.2,46.900,43.100,25.600,0.800,4.733,61.400,2.265,37.170,3.651,9341,""
-5600,50.0,6371.2,47.880,42.120,23.050,8.000,4.871,61.200,2.347,51.240,3.549,13029,""
-5590,50.0,6371.2,53.600,36.400,42.400,,,,,45.600,4.482,6943,""
-5590,50.0,6371.2,53.600,36.400,42.400,,,,,45.200,3.391,6944,""
-5590,120.0,6371.2,46.600,43.400,-113.600,6.400,6.196,56.300,3.438,,,5285,""
-5585,50.0,6371.2,53.600,36.400,42.400,,,,,50.200,4.482,6945,""
-5585,50.0,6371.2,53.600,36.400,42.400,,,,,48.500,4.972,6946,""
-5585,50.0,6371.2,53.600,36.400,42.400,,,,,46.000,4.972,6947,""
-5583,50.0,6371.2,53.661,36.339,42.349,,,,,31.000,3.446,10752,""
-5578,50.0,6371.2,53.600,36.400,42.400,,,,,46.200,4.482,6948,""
-5570,50.0,6371.2,53.600,36.400,42.400,,,,,50.200,4.482,6949,""
-5565,50.0,6371.2,53.600,36.400,42.400,,,,,49.500,4.482,6950,""
-5565,50.0,6371.2,53.600,36.400,42.400,,,,,47.000,8.562,6951,""
-5558,67.0,6371.2,48.200,41.800,23.600,-3.200,5.711,65.500,2.369,41.410,3.554,9339,""
-5558,50.0,6371.2,53.661,36.339,42.349,,,,,44.300,4.480,10751,""
-5555,50.0,6371.2,53.600,36.400,42.400,,,,,50.200,4.482,6952,""
-5555,50.0,6371.2,53.600,36.400,42.400,,,,,42.800,4.972,6953,""
-5551,50.0,6371.2,53.661,36.339,42.349,,,,,35.900,4.480,10750,""
-5550,50.0,6371.2,53.600,36.400,42.400,,,,,47.400,3.309,6954,""
-5550,50.0,6371.2,47.500,42.500,25.900,-0.500,4.684,63.300,2.104,56.450,5.138,9589,""
-5550,80.0,6371.2,46.440,43.560,13.570,-3.000,4.444,60.900,2.161,28.200,4.444,11436,""
-5550,50.0,6371.2,47.880,42.120,23.050,-4.600,4.720,56.800,2.585,54.870,3.640,13030,""
-5540,80.0,6371.2,46.900,43.100,25.600,5.200,4.876,59.700,2.460,47.000,4.430,9660,""
-5535,85.0,6371.2,43.240,46.760,7.110,19.600,5.422,64.600,2.326,,,9092,""
-5530,50.0,6371.2,53.600,36.400,42.400,,,,,45.700,4.216,6955,""
-5525,50.0,6371.2,53.583,36.417,38.170,,,,,30.800,3.384,10472,""
-5510,50.0,6371.2,53.600,36.400,42.400,,,,,47.200,4.482,6956,""
-5510,50.0,6371.2,53.661,36.339,42.349,,,,,32.500,3.326,10749,""
-5500,50.0,6371.2,46.300,43.700,25.300,4.270,4.994,64.200,2.174,34.890,3.608,9661,""
-5497,50.0,6371.2,53.661,36.339,42.349,,,,,32.600,4.480,10748,""
-5490,50.0,6371.2,47.400,42.600,25.400,-1.060,3.872,54.530,2.247,44.260,3.776,9344,""
-5485,50.0,6371.2,47.900,42.100,23.100,-7.200,4.825,55.700,2.719,46.250,3.638,9345,""
-5480,50.0,6371.2,46.700,43.300,26.200,-6.200,4.279,59.900,2.146,39.220,3.589,9592,""
-5480,120.0,6371.2,46.700,43.300,-113.600,15.000,5.807,53.700,3.438,,,5283,""
-5475,50.0,6371.2,53.583,36.417,38.170,,,,,45.300,3.353,10473,""
-5471,50.0,6371.2,53.661,36.339,42.349,,,,,32.500,4.480,10747,""
-5470,50.0,6371.2,47.000,43.000,27.500,,,,,36.300,4.124,9337,""
-5465,155.0,6371.2,46.440,43.560,13.570,-3.000,4.170,57.700,2.228,26.700,4.444,11437,""
-5465,155.0,6371.2,46.440,43.560,13.570,-7.200,4.096,57.900,2.177,,,11438,""
-5465,50.0,6371.2,52.664,37.336,-3.964,,,,,31.200,8.576,11745,""
-5465,50.0,6371.2,52.664,37.336,-3.964,,,,,40.000,8.576,11746,""
-5465,50.0,6371.2,52.664,37.336,-3.964,,,,,41.400,8.576,11747,""
-5460,60.0,6371.2,48.100,41.900,25.300,3.400,4.622,56.000,2.585,34.770,3.529,9656,""
-5452,50.0,6371.2,53.661,36.339,42.349,,,,,31.700,4.480,10746,""
-5450,77.0,6371.2,41.580,48.420,11.600,6.300,5.478,66.000,2.228,,,4000,""
-5450,70.0,6371.2,46.900,43.100,25.600,7.400,4.437,59.300,2.265,30.910,3.779,9662,""
-5450,50.0,6371.2,47.970,42.030,25.830,,,,,29.420,4.396,13031,""
-5440,50.0,6371.2,53.661,36.339,42.349,,,,,32.400,4.480,10745,""
-5430,50.0,6371.2,46.300,43.700,25.300,-11.080,5.930,67.600,2.260,30.660,3.589,9624,""
-5425,50.0,6371.2,47.880,42.120,23.050,-4.000,4.815,59.600,2.436,30.490,3.669,13032,""
-5425,50.0,6371.2,53.583,36.417,38.170,,,,,40.300,3.379,10474,""
-5425,50.0,6371.2,53.583,36.417,38.170,,,,,41.400,3.365,10475,""
-5410,100.0,6371.2,56.800,33.200,43.500,,,,,32.200,4.116,2678,""
-5402,50.0,6371.2,53.661,36.339,42.349,,,,,32.400,4.480,10744,""
-5400,100.0,6371.2,46.200,43.800,21.500,,,,,44.740,3.887,9343,""
-5400,50.0,6371.2,47.970,42.030,25.830,7.600,3.968,57.000,2.161,29.570,3.555,13033,""
-5398,72.0,6371.2,46.800,43.200,26.600,-6.500,4.562,61.120,2.204,32.930,3.685,9336,""
-5390,50.0,6371.2,52.664,37.336,-3.964,,,,,37.000,8.576,11748,""
-5375,50.0,6371.2,53.583,36.417,38.170,,,,,38.300,3.458,10476,""
-5375,50.0,6371.2,53.583,36.417,38.170,,,,,38.900,3.326,10477,""
-5325,50.0,6371.2,47.970,42.030,25.830,13.100,6.097,58.000,3.231,,,13034,""
-5325,50.0,6371.2,53.583,36.417,38.170,,,,,35.600,3.517,10478,""
-5325,50.0,6371.2,53.583,36.417,38.170,,,,,36.100,3.392,10479,""
-5325,50.0,6371.2,53.583,36.417,38.170,,,,,40.400,3.448,10480,""
-5320,100.0,6371.2,46.900,43.100,25.600,5.700,4.010,53.400,2.391,43.780,3.825,9350,""
-5320,50.0,6371.2,52.664,37.336,-3.964,,,,,37.000,8.576,11749,""
-5314,50.0,6371.2,53.661,36.339,42.349,,,,,31.900,4.480,10743,""
-5313,50.0,6371.2,53.661,36.339,42.349,,,,,30.800,4.480,10742,""
-5300,50.0,6371.2,47.970,42.030,25.830,0.200,4.103,56.800,2.247,37.940,3.688,13035,""
-5300,50.0,6371.2,47.920,42.080,23.070,8.100,4.916,61.200,2.369,41.100,3.605,13036,""
-5280,50.0,6371.2,46.900,43.100,27.400,,,,,41.190,4.430,9354,""
-5275,50.0,6371.2,47.880,42.120,23.050,5.600,4.978,61.000,2.413,37.870,3.565,13037,""
-5266,50.0,6371.2,46.920,43.080,25.350,8.200,4.324,58.100,2.285,40.670,3.667,9663,""
-5262,50.0,6371.2,53.661,36.339,42.349,,,,,33.300,4.480,10741,""
-5250,70.0,6371.2,46.700,43.300,26.200,6.600,4.119,58.600,2.146,38.230,3.680,9593,""
-5250,50.0,6371.2,46.500,43.500,21.300,,,,,42.820,3.629,9351,""
-5250,50.0,6371.2,46.500,43.500,21.300,,,,,45.370,4.818,9352,""
-5250,150.0,6371.2,49.500,40.500,21.300,8.300,4.067,53.200,2.436,35.900,3.505,8850,""
-5250,50.0,6371.2,52.664,37.336,-3.964,,,,,32.000,8.576,11750,""
-5240,50.0,6371.2,46.700,43.300,26.500,12.200,4.682,57.600,2.509,46.620,3.950,9347,""
-5237,50.0,6371.2,53.661,36.339,42.349,,,,,29.700,4.214,10740,""
-5226,160.0,6371.2,70.920,19.080,-155.600,-2.200,3.660,54.900,2.104,39.100,5.795,2427,""
-5225,100.0,6371.2,46.900,43.100,25.600,10.300,5.977,64.100,2.611,44.650,3.595,9348,""
-5199,50.0,6371.2,53.661,36.339,42.349,,,,,31.400,4.480,10739,""
-5195,50.0,6371.2,52.664,37.336,-3.964,,,,,40.000,8.576,11751,""
-5180,50.0,6371.2,52.664,37.336,-3.964,,,,,38.300,8.576,11752,""
-5180,50.0,6371.2,52.664,37.336,-3.964,,,,,29.000,8.576,11753,""
-5165,55.0,6371.2,46.150,43.850,26.000,22.760,4.453,57.700,2.380,46.800,5.174,9632,""
-5162,50.0,6371.2,53.661,36.339,42.349,,,,,31.900,4.214,10738,""
-5150,50.0,6371.2,46.300,43.700,25.300,22.400,4.256,45.080,3.005,45.940,4.449,9623,""
-5150,150.0,6371.2,55.583,34.417,40.017,,,,,28.200,3.257,10481,""
-5150,150.0,6371.2,55.583,34.417,40.017,,,,,27.800,3.220,10482,""
-5135,200.0,6371.2,70.860,19.140,-99.008,2.000,3.514,10.000,3.461,,,13150,""
-5125,93.0,6371.2,46.900,43.100,25.700,9.710,4.084,49.530,2.651,49.210,3.892,9355,""
-5125,50.0,6371.2,53.661,36.339,42.349,,,,,31.500,3.421,10737,""
-5112,102.0,6371.2,48.600,41.400,23.300,18.040,4.519,52.120,2.775,51.230,4.376,9590,""
-5105,50.0,6371.2,52.664,37.336,-3.964,,,,,57.200,8.576,11754,""
-5105,50.0,6371.2,52.664,37.336,-3.964,,,,,63.400,8.576,11755,""
-5103,53.0,6371.2,44.430,45.570,11.000,,,,,42.100,6.679,10652,""
-5070,139.0,6371.2,70.115,19.885,-101.450,-19.900,2.757,38.400,2.161,50.900,4.367,13123,""
-5060,100.0,6371.2,48.900,41.100,24.020,,,,,41.400,6.315,8905,""
-5050,100.0,6371.2,47.500,42.500,26.000,12.850,6.616,55.730,3.726,54.940,3.881,9356,""
-5040,180.0,6371.2,47.651,42.349,-3.509,-24.600,6.194,65.600,2.559,,,9035,""
-5035,50.0,6371.2,52.664,37.336,-3.964,,,,,41.000,8.576,11756,""
-5035,50.0,6371.2,52.664,37.336,-3.964,,,,,36.800,8.576,11757,""
-5030,100.0,6371.2,48.100,41.900,23.500,3.370,3.884,56.460,2.146,51.350,3.697,9357,""
-5000,200.0,6371.2,35.000,55.000,105.000,,,,,46.800,6.616,11314,""
-5000,100.0,6371.2,48.000,42.000,43.000,,,,,50.100,4.857,1687,""
-5000,100.0,6371.2,48.900,41.100,24.020,,,,,33.300,6.315,8906,""
-4940,100.0,6371.2,48.900,41.100,24.020,,,,,41.300,5.099,8907,""
-4940,60.0,6371.2,52.664,37.336,-3.964,,,,,30.000,8.576,11758,""
-4940,60.0,6371.2,52.664,37.336,-3.964,,,,,34.400,8.576,11759,""
-4930,100.0,6371.2,33.200,56.800,40.670,,,,,34.500,6.652,11376,""
-4930,100.0,6371.2,33.200,56.800,40.670,,,,,29.100,6.652,11377,""
-4930,65.0,6371.2,43.240,46.760,7.110,-17.100,5.381,58.600,2.803,,,9091,""
-4920,120.0,6371.2,46.200,43.800,-121.300,-18.700,8.983,67.500,3.438,,,5281,""
-4902,80.0,6371.2,43.820,46.180,11.110,7.200,7.807,56.900,4.264,,,9089,""
-4900,100.0,6371.2,33.000,57.000,106.000,,,,,41.000,6.655,2209,""
-4900,200.0,6371.2,41.570,48.430,13.000,8.900,3.854,55.000,2.210,,,5365,""
-4880,100.0,6371.2,48.900,41.100,24.020,,,,,39.300,5.099,8908,""
-4870,50.0,6371.2,46.600,43.400,24.200,14.180,3.514,49.860,2.265,53.260,3.961,9358,""
-4855,125.0,6371.2,48.000,42.000,23.100,,,,,51.310,4.650,9359,""
-4850,100.0,6371.2,43.820,46.180,11.110,3.500,8.432,57.300,4.555,,,9088,""
-4840,50.0,6371.2,70.471,19.529,-101.730,-25.700,5.008,42.400,3.698,27.500,5.897,11966,""
-4830,80.0,6371.2,49.000,41.000,24.400,,,,,84.400,4.363,8852,""
-4830,60.0,6371.2,52.664,37.336,-3.964,,,,,35.400,8.576,11760,""
-4830,60.0,6371.2,52.664,37.336,-3.964,,,,,47.700,8.576,11761,""
-4827,51.0,6371.2,44.430,45.570,11.000,,,,,40.000,4.757,10648,""
-4820,100.0,6371.2,48.900,41.100,24.020,,,,,40.800,6.315,8909,""
-4800,100.0,6371.2,30.717,59.283,40.167,,,,,40.400,6.699,12846,""
-4800,200.0,6371.2,50.700,39.300,22.300,-1.100,3.403,43.700,2.460,47.700,3.673,8851,""
-4770,170.0,6371.2,36.220,53.780,-1.630,46.000,12.014,78.630,2.369,,,10321,""
-4750,100.0,6371.2,33.200,56.800,40.670,,,,,35.700,6.652,11374,""
-4750,50.0,6371.2,46.800,43.200,21.200,,,,,41.170,4.687,9598,""
-4750,50.0,6371.2,45.300,44.700,18.300,,,,,47.000,3.632,9360,""
-4740,100.0,6371.2,33.200,56.800,40.670,,,,,30.800,6.652,11375,""
-4730,50.0,6371.2,50.500,39.500,-0.400,,,,,20.300,4.575,2330,""
-4720,90.0,6371.2,45.900,44.100,20.900,6.610,4.091,51.730,2.534,47.070,3.646,9353,""
-4715,60.0,6371.2,52.664,37.336,-3.964,,,,,34.700,8.576,11762,""
-4705,85.0,6371.2,46.700,43.300,26.600,12.100,3.550,52.500,2.161,47.580,4.172,9367,""
-4700,90.0,6371.2,43.820,46.180,11.110,-0.900,5.479,39.500,4.228,,,9087,""
-4700,50.0,6371.2,47.830,42.170,23.100,8.600,3.774,45.100,2.664,42.170,3.738,9361,""
-4700,100.0,6371.2,48.900,41.100,24.020,,,,,41.100,10.400,8910,""
-4683,110.0,6371.2,43.820,46.180,11.110,-1.000,5.567,53.700,3.296,,,9086,""
-4680,80.0,6371.2,43.820,46.180,11.110,-1.700,7.604,40.300,5.799,,,9085,""
-4680,50.0,6371.2,46.800,43.200,27.100,9.800,4.172,46.700,2.861,51.080,5.157,9606,""
-4671,59.5,6371.2,62.017,27.983,-15.468,3.500,2.791,28.200,2.460,31.800,3.113,10732,""
-4670,50.0,6371.2,50.500,39.500,-0.400,,,,,23.700,4.587,2331,""
-4650,150.0,6371.2,48.000,42.000,43.000,,,,,52.800,4.978,1688,""
-4640,60.0,6371.2,46.800,43.200,27.100,10.300,3.654,44.400,2.611,51.990,4.382,9363,""
-4640,100.0,6371.2,48.900,41.100,24.020,,,,,47.500,6.315,8911,""
-4632,50.0,6371.2,61.988,28.012,-15.532,-1.300,3.559,30.300,3.073,61.700,4.273,10731,""
-4625,105.0,6371.2,25.000,65.000,26.100,,,,,41.700,6.800,3623,""
-4620,90.0,6371.2,43.820,46.180,11.110,-4.200,4.892,54.200,2.861,,,9084,""
-4620,80.0,6371.2,45.100,44.900,19.800,3.270,5.350,56.950,2.918,43.500,3.877,9372,""
-4615,50.0,6371.2,46.500,43.500,23.500,7.110,5.475,54.250,3.199,49.710,3.746,9369,""
-4600,100.0,6371.2,30.717,59.283,40.167,,,,,37.700,6.699,12847,""
-4600,50.0,6371.2,25.927,64.073,-19.854,4.000,10.613,75.000,2.747,,,11902,""
-4600,50.0,6371.2,46.800,43.200,27.100,4.310,3.803,53.720,2.250,48.630,4.026,9370,""
-4600,50.0,6371.2,46.150,43.850,26.000,9.220,3.820,54.110,2.239,49.480,3.755,9631,""
-4600,60.0,6371.2,52.664,37.336,-3.964,,,,,41.200,8.576,11763,""
-4580,50.0,6371.2,47.830,42.170,23.100,19.900,5.425,55.100,3.104,51.060,4.400,9587,""
-4575,75.0,6371.2,47.300,42.700,23.300,,,,,44.170,3.661,9617,""
-4575,50.0,6371.2,47.000,43.000,27.500,15.270,4.640,53.270,2.775,49.430,3.698,9366,""
-4575,100.0,6371.2,48.900,41.100,24.020,,,,,31.200,6.315,8912,""
-4570,100.0,6371.2,33.200,56.800,40.670,,,,,29.000,6.652,11372,""
-4560,50.0,6371.2,46.150,43.850,26.000,14.500,3.451,52.310,2.110,44.450,6.376,9630,""
-4550,100.0,6371.2,33.200,56.800,40.670,,,,,41.200,10.423,11373,""
-4525,75.0,6371.2,46.500,43.500,26.500,10.590,4.035,55.300,2.297,58.790,3.824,9365,""
-4510,70.0,6371.2,46.700,43.300,26.500,16.300,5.564,58.700,2.891,43.540,3.814,9371,""
-4510,90.0,6371.2,45.100,44.900,19.800,13.090,6.670,61.340,3.199,55.250,4.487,9373,""
-4510,50.0,6371.2,46.700,43.300,26.600,13.500,4.556,59.900,2.285,43.300,4.090,9375,""
-4500,50.0,6371.2,46.400,43.600,27.400,,,,,51.310,4.052,9368,""
-4500,50.0,6371.2,43.930,46.070,11.100,,,,,37.400,8.717,10653,""
-4500,50.0,6371.2,46.800,43.200,26.700,10.600,4.833,53.700,2.861,47.720,4.433,9635,""
-4500,100.0,6371.2,47.500,42.500,25.900,3.750,4.131,50.520,2.627,48.350,3.550,9645,""
-4500,75.0,6371.2,46.300,43.700,28.600,8.000,3.566,53.300,2.131,46.360,3.828,9664,""
-4495,185.0,6371.2,55.633,34.367,109.200,4.400,3.127,48.000,2.092,,,5348,""
-4494,199.0,6371.2,70.460,19.540,-155.120,5.500,2.512,33.600,2.092,,,12572,""
-4494,199.0,6371.2,70.460,19.540,-155.130,5.400,2.501,33.700,2.080,34.800,4.033,2428,""
-4485,100.0,6371.2,48.900,41.100,24.020,,,,,30.900,6.315,8913,""
-4485,60.0,6371.2,52.664,37.336,-3.964,,,,,31.000,8.576,11764,""
-4485,60.0,6371.2,52.664,37.336,-3.964,,,,,32.900,8.576,11765,""
-4485,60.0,6371.2,52.664,37.336,-3.964,,,,,43.400,8.576,11766,""
-4480,80.0,6371.2,46.900,43.100,26.100,13.900,4.612,47.700,3.104,54.530,3.635,9379,""
-4475,75.0,6371.2,47.600,42.400,25.600,8.730,4.416,52.890,2.664,50.500,4.663,9362,""
-4475,100.0,6371.2,48.900,41.100,24.020,,,,,42.900,6.315,8914,""
-4430,50.0,6371.2,46.700,43.300,26.600,,,,,44.360,3.846,9377,""
-4425,50.0,6371.2,46.300,43.700,28.600,2.680,2.902,45.520,2.034,47.640,3.612,9625,""
-4420,80.0,6371.2,46.753,43.247,-3.451,-14.100,4.548,52.400,2.775,,,9045,""
-4420,50.0,6371.2,46.150,43.850,26.000,,,,,42.770,3.803,9629,""
-4400,200.0,6371.2,35.000,55.000,105.000,,,,,39.500,6.616,11312,""
-4400,100.0,6371.2,30.717,59.283,40.167,,,,,38.000,6.699,12848,""
